tanggal,jenis,kategori,deskripsi,produk_id,jumlah_unit,jumlah_rp
2026-07-14,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,19.0,228000
2026-07-14,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,29.0,145000
2026-07-14,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-07-14,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,12.0,180000
2026-07-14,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-07-14,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52458
2026-07-15,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,37.0,444000
2026-07-15,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,44.0,220000
2026-07-15,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-15,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,20.0,300000
2026-07-15,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,29.0,203000
2026-07-15,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,54883
2026-07-16,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,33.0,396000
2026-07-16,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,6.0,30000
2026-07-16,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,7.0,105000
2026-07-16,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,13.0,91000
2026-07-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,109.0,654000
2026-07-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,119.0,238000
2026-07-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,59.0,295000
2026-07-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,71.0,568000
2026-07-16,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,69.0,207000
2026-07-16,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,48382
2026-07-17,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-07-17,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,29.0,145000
2026-07-17,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-07-17,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-07-17,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-07-17,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,56832
2026-07-18,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,28.0,336000
2026-07-18,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,33.0,165000
2026-07-18,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,21.0,210000
2026-07-18,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,23.0,345000
2026-07-18,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-07-18,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46426
2026-07-19,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,35.0,420000
2026-07-19,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,30.0,150000
2026-07-19,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,18.0,180000
2026-07-19,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,22.0,330000
2026-07-19,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,20.0,140000
2026-07-19,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,49929
2026-07-20,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,14.0,168000
2026-07-20,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-07-20,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,9.0,90000
2026-07-20,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,10.0,150000
2026-07-20,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-07-20,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,60863
2026-07-21,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-07-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,111.0,666000
2026-07-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,137.0,274000
2026-07-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,59.0,295000
2026-07-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,64.0,512000
2026-07-21,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,68.0,204000
2026-07-21,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46181
2026-07-22,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,22.0,264000
2026-07-22,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,32.0,160000
2026-07-22,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-22,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-07-22,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-07-22,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,41980
2026-07-23,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-07-23,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-07-23,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-07-23,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,12.0,180000
2026-07-23,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-07-23,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,62262
2026-07-24,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-07-24,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,28.0,140000
2026-07-24,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-24,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,13.0,195000
2026-07-24,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-07-24,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,50101
2026-07-25,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,30.0,360000
2026-07-25,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,32.0,160000
2026-07-25,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,17.0,170000
2026-07-25,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,21.0,315000
2026-07-25,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-07-25,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,57674
2026-07-26,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,24.0,288000
2026-07-26,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,20.0,100000
2026-07-26,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,4.0,40000
2026-07-26,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,4.0,60000
2026-07-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,93.0,558000
2026-07-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,111.0,222000
2026-07-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,54.0,270000
2026-07-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,63.0,504000
2026-07-26,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,79.0,237000
2026-07-26,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,43534
2026-07-27,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,15.0,180000
2026-07-27,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,28.0,140000
2026-07-27,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-27,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-07-27,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,19.0,133000
2026-07-27,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,61813
2026-07-28,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,24.0,288000
2026-07-28,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,26.0,130000
2026-07-28,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-07-28,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-07-28,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-07-28,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,41221
2026-07-29,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,23.0,276000
2026-07-29,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,26.0,130000
2026-07-29,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-29,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-07-29,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,11.0,77000
2026-07-29,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,42790
2026-07-30,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-07-30,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,26.0,130000
2026-07-30,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-07-30,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-07-30,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,21.0,147000
2026-07-30,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52500
2026-07-31,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,10.0,120000
2026-07-31,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,5.0,25000
2026-07-31,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,3.0,30000
2026-07-31,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,3.0,45000
2026-07-31,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,10.0,70000
2026-07-31,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,95.0,570000
2026-07-31,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,108.0,216000
2026-07-31,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,58.0,290000
2026-07-31,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,66.0,528000
2026-07-31,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,83.0,249000
2026-07-31,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,62331
2026-08-01,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,36.0,432000
2026-08-01,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,38.0,190000
2026-08-01,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,22.0,220000
2026-08-01,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,26.0,390000
2026-08-01,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,23.0,161000
2026-08-01,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,57773
2026-08-01,Pengeluaran,Lainnya,Sewa tempat bulanan,,,1500000
2026-08-02,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,34.0,408000
2026-08-02,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,45.0,225000
2026-08-02,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,15.0,150000
2026-08-02,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,23.0,345000
2026-08-02,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,28.0,196000
2026-08-02,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,35930
2026-08-03,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,18.0,216000
2026-08-03,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,19.0,95000
2026-08-03,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-08-03,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-08-03,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,21.0,147000
2026-08-03,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,50593
2026-08-04,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,7.0,84000
2026-08-04,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,6.0,30000
2026-08-04,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,9.0,90000
2026-08-04,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,1.0,15000
2026-08-04,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,11.0,77000
2026-08-04,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,49738
2026-08-05,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,90.0,540000
2026-08-05,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,116.0,232000
2026-08-05,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,61.0,305000
2026-08-05,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,66.0,528000
2026-08-05,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,81.0,243000
2026-08-05,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,42481
2026-08-06,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-08-06,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,25.0,125000
2026-08-06,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-08-06,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-08-06,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-08-06,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,48468
2026-08-07,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,22.0,264000
2026-08-07,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,18.0,90000
2026-08-07,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-08-07,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-08-07,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,19.0,133000
2026-08-07,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,59637
2026-08-08,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,35.0,420000
2026-08-08,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,35.0,175000
2026-08-08,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,15.0,150000
2026-08-08,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,23.0,345000
2026-08-08,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,22.0,154000
2026-08-08,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,40176
2026-08-09,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,12.0,144000
2026-08-09,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,36.0,180000
2026-08-09,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,16.0,160000
2026-08-09,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-08-09,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,26.0,182000
2026-08-09,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,42097
2026-08-10,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,2.0,10000
2026-08-10,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,7.0,70000
2026-08-10,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,92.0,552000
2026-08-10,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,113.0,226000
2026-08-10,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,53.0,265000
2026-08-10,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,57.0,456000
2026-08-10,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,73.0,219000
2026-08-10,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,30346
2026-08-11,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-08-11,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,23.0,115000
2026-08-11,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,16.0,160000
2026-08-11,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,17.0,255000
2026-08-11,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,17.0,119000
2026-08-11,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,61840
2026-08-12,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,23.0,276000
2026-08-12,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,24.0,120000
2026-08-12,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,15.0,150000
2026-08-12,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-08-12,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,15.0,105000
2026-08-12,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,48477
2026-08-13,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-08-13,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,22.0,110000
2026-08-13,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,14.0,140000
2026-08-13,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,19.0,285000
2026-08-13,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,14.0,98000
2026-08-13,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,54504
2026-08-14,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,20.0,240000
2026-08-14,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,26.0,130000
2026-08-14,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,8.0,80000
2026-08-14,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,5.0,75000
2026-08-14,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,18.0,126000
2026-08-14,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,43352
2026-08-15,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,9.0,108000
2026-08-15,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,18.0,90000
2026-08-15,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,9.0,63000
2026-08-15,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,90.0,540000
2026-08-15,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,127.0,254000
2026-08-15,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,61.0,305000
2026-08-15,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,67.0,536000
2026-08-15,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,79.0,237000
2026-08-15,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,56043
2026-08-16,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,36.0,432000
2026-08-16,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,35.0,175000
2026-08-16,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,16.0,160000
2026-08-16,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,18.0,270000
2026-08-16,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,26.0,182000
2026-08-16,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,28072
2026-08-17,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,21.0,252000
2026-08-17,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-08-17,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,10.0,100000
2026-08-17,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,17.0,255000
2026-08-17,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,15.0,105000
2026-08-17,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,52142
2026-08-18,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,32.0,384000
2026-08-18,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,21.0,105000
2026-08-18,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-08-18,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-08-18,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,16.0,112000
2026-08-18,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,56082
2026-08-19,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,1.0,12000
2026-08-19,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,31.0,155000
2026-08-19,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-08-19,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,18.0,270000
2026-08-19,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,13.0,91000
2026-08-19,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,41739
2026-08-20,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,13.0,65000
2026-08-20,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-08-20,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,9.0,63000
2026-08-20,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,107.0,642000
2026-08-20,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,111.0,222000
2026-08-20,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,50.0,250000
2026-08-20,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,60.0,480000
2026-08-20,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,84.0,252000
2026-08-20,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,50910
2026-08-21,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,24.0,288000
2026-08-21,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,37.0,185000
2026-08-21,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,15.0,150000
2026-08-21,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,15.0,225000
2026-08-21,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,21.0,147000
2026-08-21,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,46735
2026-08-22,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,23.0,276000
2026-08-22,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,34.0,170000
2026-08-22,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,13.0,130000
2026-08-22,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,20.0,300000
2026-08-22,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,25.0,175000
2026-08-22,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,63411
2026-08-23,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,34.0,408000
2026-08-23,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,38.0,190000
2026-08-23,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,20.0,200000
2026-08-23,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-08-23,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,26.0,182000
2026-08-23,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,56167
2026-08-24,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,18.0,216000
2026-08-24,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,2.0,10000
2026-08-24,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,2.0,20000
2026-08-24,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,11.0,165000
2026-08-24,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,12.0,84000
2026-08-24,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,68166
2026-08-25,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,8.0,96000
2026-08-25,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Kopi Susu,P1,86.0,516000
2026-08-25,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Es Teh,P2,123.0,246000
2026-08-25,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Roti Bakar,P3,59.0,295000
2026-08-25,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Nasi Goreng,P4,73.0,584000
2026-08-25,Pengeluaran,Biaya Bahan Baku,Pembelian bahan baku Cireng,P5,74.0,222000
2026-08-25,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,43151
2026-08-26,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,28.0,336000
2026-08-26,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,27.0,135000
2026-08-26,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,12.0,120000
2026-08-26,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,14.0,210000
2026-08-26,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,21.0,147000
2026-08-26,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,57788
2026-08-27,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,28.0,336000
2026-08-27,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,33.0,165000
2026-08-27,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,10.0,100000
2026-08-27,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,16.0,240000
2026-08-27,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,15.0,105000
2026-08-27,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,45897
2026-08-28,Pemasukan,Penjualan Produk,Penjualan Kopi Susu,P1,24.0,288000
2026-08-28,Pemasukan,Penjualan Produk,Penjualan Es Teh,P2,32.0,160000
2026-08-28,Pemasukan,Penjualan Produk,Penjualan Roti Bakar,P3,11.0,110000
2026-08-28,Pemasukan,Penjualan Produk,Penjualan Nasi Goreng,P4,10.0,150000
2026-08-28,Pemasukan,Penjualan Produk,Penjualan Cireng,P5,19.0,133000
2026-08-28,Pengeluaran,Biaya Operasional,"Listrik, air, dan operasional harian",,,71149
